5.338866233825684	3.6744792899481953E-14	3.725754978221563E-11	""	"AT2G37870"	"266098_at"	""
2.294313430786133	2.2098842338552532E-8	2.975008304442313E-7	""	"AT4G02170"	"255532_at"	""
2.015960693359375	5.939540164155938E-10	1.9716268220509896E-8	""	"AT2G15780"	"265482_at"	""
1.7732429504394531	8.060431567940403E-9	1.3631845867024E-7	"MAP65-8"	"AT1G27920"	"259606_at"	"65-kDa microtubule-associated protein 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7G0]"
1.2258644104003906	3.1733574004550706E-8	3.9261277610621886E-7	""	"AT3G53980"	"251928_at"	""
-0.6982841491699219	1.0692320795404287E-5	5.100804105711793E-5	""	"AT1G55790"	"264543_at"	""
-0.815424919128418	3.559771620929174E-6	1.9812331723569633E-5	""	"AT5G11580"	"250382_at"	""
-0.8697137832641602	6.082988465378842E-6	3.1454154774502975E-5	"TTN8"	"AT3G54670"	"251851_at"	"Structural maintenance of chromosomes (SMC) family protein [Source:TAIR;Acc:AT3G54670]"
-1.119410514831543	8.657125158794857E-8	8.863801187728157E-7	""	"AT5G38700"	"249522_at"	""
-1.1909475326538086	9.277152570113794E-8	9.393801288312684E-7	"DTA4"	"AT1G79760"	"261345_at"	"downstream target of AGL15-4 [Source:TAIR;Acc:AT1G79760]"
-1.2754335403442383	1.1622118808997013E-7	1.1326107657155806E-6	""	"AT5G66900,AT5G66910"	"247065_s_at"	""
-1.3033065795898438	2.3104285479783275E-8	3.076939081776272E-7	""	"AT4G38890"	"252968_at"	""
