,,,,Gene Symbol,,,MAP65-8,MAP65-8,ADR1,ADR1,,,,,DTA4,DTA4,,,,,RDR3,RDR3,,,,,,,,,CID9,CID9,RPPL1,RPPL1,ASPG2,ASPG2,,,,,SDR5,SDR5,EDS1B,EDS1B,EDS1,EDS1,PAD4,PAD4,,,EDL3,EDL3,,,,,ADR1-L1,ADR1-L1,,,,,,,ADR1-L2,ADR1-L2,,,,,,,SAG101,SAG101,,,,,,,ADR1-L3,ADR1-L3,,,,,,,,,,
,,,,Gene,AT1G02610,AT1G02610,AT1G27920,AT1G27920,AT1G33560,AT1G33560,AT1G55790,AT1G55790,AT1G55800,AT1G55800,AT1G79760,AT1G79760,AT2G15770,AT2G15770,AT2G15780,AT2G15780,AT2G19910,AT2G19910,AT2G30890,AT2G30890,AT2G23540,AT2G23540,AT2G37870,AT2G37870,AT3G08490,AT3G08490,AT3G14450,AT3G14450,AT3G14470,AT3G14470,AT3G20015,AT3G20015,AT3G26470,AT3G26470,AT3G27200,AT3G27200,AT3G29260,AT3G29260,AT3G48080,AT3G48080,AT3G48090,AT3G48090,AT3G52430,AT3G52430,AT3G53980,AT3G53980,AT3G63060,AT3G63060,AT4G02170,AT4G02170,AT4G26485,AT4G26485,AT4G33300,AT4G33300,AT4G33930,AT4G33930,AT4G34300,AT4G34300,AT5G04760,AT5G04760,AT5G04720,AT5G04720,AT5G05960,AT5G05960,AT5G10080,AT5G10080,AT5G11580,AT5G11580,AT5G14930,AT5G14930,AT5G25030,AT5G25030,AT5G38700,AT5G38700,AT5G44400,AT5G44400,AT5G47280,AT5G47280,AT5G56060,AT5G56060,AT5G56075,AT5G56075,AT5G66890,AT5G66890,AT5G66900,AT5G66900,AT5G66910,AT5G66910
,,,,Measure,AT1G02610,AT1G02610,AT1G27920,AT1G27920,AT1G33560,AT1G33560,AT1G55790,AT1G55790,AT1G55800,AT1G55800,AT1G79760,AT1G79760,AT2G15770,AT2G15770,AT2G15780,AT2G15780,AT2G19910,AT2G19910,AT2G30890,AT2G30890,AT2G23540,AT2G23540,AT2G37870,AT2G37870,AT3G08490,AT3G08490,AT3G14450,AT3G14450,AT3G14470,AT3G14470,AT3G20015,AT3G20015,AT3G26470,AT3G26470,AT3G27200,AT3G27200,AT3G29260,AT3G29260,AT3G48080,AT3G48080,AT3G48090,AT3G48090,AT3G52430,AT3G52430,AT3G53980,AT3G53980,AT3G63060,AT3G63060,AT4G02170,AT4G02170,AT4G26485,AT4G26485,AT4G33300,AT4G33300,AT4G33930,AT4G33930,AT4G34300,AT4G34300,AT5G04760,AT5G04760,AT5G04720,AT5G04720,AT5G05960,AT5G05960,AT5G10080,AT5G10080,AT5G11580,AT5G11580,AT5G14930,AT5G14930,AT5G25030,AT5G25030,AT5G38700,AT5G38700,AT5G44400,AT5G44400,AT5G47280,AT5G47280,AT5G56060,AT5G56060,AT5G56075,AT5G56075,AT5G66890,AT5G66890,AT5G66900,AT5G66900,AT5G66910,AT5G66910
Path from root,Perturbations,Experiment,# samples experiment,# samples control,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value,Log2-ratio,p-value
10°C (Col-0; 1h) > Temperature,10°C (Col-0; 1h) / untreated seedling samples (Col-0; 22°C),AT-00740,3,3,0.279705048,0.145538986,-0.142341614,0.371432781,0.243320465,0.121234268,0.382279754,0.117749318,-0.239706874,0.287586123,0.294189692,0.08502233,0,1,0,1,-0.012591362,0.902235746,0.098276377,0.562878191,0.053154469,0.467827648,-0.088614941,0.789671659,0.043212801,0.823818922,-0.204294205,0.530623496,-0.247320771,0.092725694,0.234599113,0.016931716,0.172190189,0.139119104,0.080200195,0.578632236,-0.075671978,0.721705377,0.09935832,0.523581266,-0.170258999,0.153060332,0.615099192,0.001579281,-0.07543993,0.536464155,-0.017429709,0.932291329,-0.035234049,0.885611653,0,1,1.412820816,1.35182E-05,0.294718474,0.181137517,0.071694948,0.74415952,0.513791084,0.001043793,1.367783308,3.37674E-05,0.003040314,0.969217062,-0.225600243,0.053503878,-0.357088089,0.010370102,0.418741941,0.020275775,0,1,-0.193098485,0.415156513,0.081386089,0.208508283,0,1,0.080000319,0.712467372,0,1,0,1,0.100809574,0.296086311,-0.009735823,0.935898423
10°C (Col-0; 24h) > Temperature,10°C (Col-0; 24h) / untreated seedling samples (Col-0; 22°C),AT-00740,3,3,-0.37057507,0.062770575,0.066104889,0.601799071,0.075334549,0.560636759,3.078668118,5.43921E-05,-0.239706874,0.305674076,-0.656592131,0.012489235,0,1,0.188596442,0.424523681,-0.172221303,0.275585175,0.032441378,0.867999852,-0.085741043,0.279468954,-0.807682991,0.055895481,0.303745329,0.098693088,-0.060915232,0.843273163,0.241897464,0.098787479,0.284890652,0.011126422,1.13348937,0.001567404,0.21191597,0.156888232,-0.075671978,0.73261559,0.368083596,0.034597658,-0.400750875,0.030116199,0.743574619,0.001456782,-1.061827183,0.00081205,0.998252511,0.003747426,0.02398172,0.926123798,0,1,0.435656548,0.001573464,0.113312326,0.596724451,0.06738691,0.757930279,-0.087326527,0.288388491,0.692894697,0.000976718,0.510725498,0.002768456,-0.400431037,0.008343438,-0.460424423,0.004242434,0.454927206,0.036238927,0,1,-0.130544186,0.579540074,0.21985054,0.016467648,0,1,0,1,0,1,0.260109812,0.220531538,-0.508581638,0.006632907,-0.043530226,0.700350463
10°C (gemin2-1; 1h) > Temperature,10°C (gemin2-1; 1h) / untreated seedling samples (gemin2-1; 22°C),AT-00740,3,3,0.54916954,0.002994346,0.100672722,0.476660311,0.361220837,0.023187136,0.091631562,0.524038017,-0.018099951,0.913886607,0.028157234,0.752286077,0,1,0.041704055,0.814947546,-0.015256286,0.876625836,-0.120715261,0.443395913,-0.031338215,0.701555371,-0.365302563,0.031932082,-0.243368745,0.109621912,0.201687813,0.30329445,-0.115781307,0.393168867,0.234350681,0.071867518,-0.061866999,0.539394438,0.120954275,0.347637832,0,1,-0.056400776,0.601408601,0.05380249,0.685157776,0.509882689,0.003814714,-0.272802353,0.019210389,-0.029788017,0.817886591,0.566710949,0.066485941,0,1,1.391521215,1.44279E-05,-0.254701793,0.211754203,-0.049189746,0.655580342,0.600520134,0.002852656,1.185085535,3.32109E-05,-0.111150265,0.327989191,-0.163085222,0.200052887,-0.155977726,0.113048904,0.359718323,0.067469358,0,1,0.073089361,0.723888695,-0.241485596,0.037607208,0,1,0.037260827,0.838980556,0,1,0,1,0.453552246,0.021915503,0.199158907,0.17559655
10°C (gemin2-1; 24h) > Temperature,10°C (gemin2-1; 24h) / untreated seedling samples (gemin2-1; 22°C),AT-00740,3,3,-1.610767245,0.001134943,0.342406511,0.026906108,0.156304359,0.30269745,2.236062288,0.000123641,0.008292761,0.964081466,-1.462090492,0.000196133,0,1,0,1,-0.403665841,0.015196946,-0.03956604,0.748689175,0.43889761,0.025728734,-1.425748825,0.000114364,-0.115487278,0.466514438,-0.072707653,0.646533072,0.361318827,0.018388411,-0.368151903,0.003198469,0.428868294,0.01136441,0.126437426,0.381871819,0,1,0.005890727,0.963052809,0.122263193,0.242609113,0.874816895,0.000255751,-1.298877239,0.000552674,0.931996703,0.002583607,0.338053823,0.175213903,0,1,0.554497957,0.000774154,0.033941686,0.867049634,0.702863395,0.006929035,-0.296895742,0.037156571,1.11231637,2.94781E-05,-0.352369785,0.028319377,-0.626525402,0.009814484,-1.091385365,0.000132004,0.77273488,0.003543048,0,1,0.254241765,0.267640889,0.187636852,0.048221793,0,1,0,1,0,1,0.306031555,0.118457317,0.065237045,0.604695916,0.010457277,0.914903045
ABA study 14 (Col-0) > Hormone,ABA study 14 (Col-0) / mock treated whole plant samples (Col-0),AT-00733,3,3,-0.381085396,0.022721848,-0.291948795,0.03819906,1.371616125,0.000242208,0.534310281,0.071104869,0.023498081,0.878295004,-1.584784269,6.48575E-05,0,1,0.085080504,0.531580746,-0.298587739,0.046729892,-1.336079717,0.000529931,1.905669212,1.11448E-05,7.383237839,7.35286E-06,-0.400122643,0.007907954,0.973029613,0.000722109,0.071379721,0.36029011,-1.106256962,0.000209055,-0.438479662,0.01826987,0.399996042,0.001728105,-0.037038431,0.807177305,-0.478917897,0.015997302,0.471383572,0.002723798,-0.508930206,0.005193864,0.868321896,0.000944037,2.571433067,8.52731E-05,0.231875181,0.269763261,0,1,0.245969772,0.117644675,0.268681496,0.035491258,0,1,1.386888027,8.78339E-06,0.944141865,0.00156913,-0.309421062,0.081189454,0.108018517,0.335275173,-0.3489995,0.022918615,0.988712311,0.000227329,0,1,-0.044629574,0.698782384,-0.659756303,0.008335328,0,1,-0.132114738,0.387163669,0,1,0.032584958,0.83271271,-0.17943716,0.044040624,0.180741549,0.066762969
ABA study 14 (rbm25-1) > Hormone,ABA study 14 (rbm25-1) / mock treated whole plant samples (rbm25-1),AT-00733,3,3,-1.149303436,0.000266605,0.055617332,0.478719294,1.667277813,3.25817E-05,0.658536434,0.004216354,0,1,-1.172037601,0.000318853,0,1,0.325073332,0.049772527,-0.079754829,0.312727988,-0.800709009,0.002478056,1.425337791,0.000192408,6.480098724,7.35286E-06,-0.595013201,0.002790656,1.054642916,0.001716709,0.057224929,0.487498581,-0.773066282,0.000635948,-0.053676128,0.70602572,0.165992737,0.166480437,0,1,0.05414176,0.637453437,0.688202381,0.001745222,-0.400878668,0.021972297,0.99588871,0.00039583,3.112810612,1.16331E-05,0.023514628,0.911453187,0,1,0.615576744,6.49181E-05,0.48023352,0.013561987,0,1,1.328561306,4.91432E-05,1.281592846,7.66078E-06,-0.494963646,0.019802658,0.232360721,0.053437751,-0.165597916,0.009675951,0.754618883,0.000934311,0,1,-0.412200212,0.048909087,0.748382807,0.000382993,0,1,-0.099660099,0.572649062,-0.045886684,0.777570546,0.073759049,0.621135712,-0.198179245,0.066135004,0.21907568,0.067854613
ABA study 15 (Col) > Hormone,ABA study 15 (Col) / mock treated seedling samples (Col),AT-00735,3,3,-0.422806501,0.024238931,-0.416983604,0.023394736,0.1252985,0.200051323,0.707138538,0.025969239,-0.08673057,0.641261339,-1.565228701,0.000156725,0,1,0.015405744,0.931074321,-0.355298698,0.015818644,-0.919382572,0.001029902,1.315703869,9.31308E-05,5.713067532,7.35286E-06,-0.142375886,0.554227293,0.284502864,0.344085217,0.007774472,0.931135774,-0.575154305,0.00088275,-0.997775793,0.00067221,0.538166761,0.085530192,0,1,-0.969107985,0.000834866,-0.307403803,0.011219747,-0.233992815,0.173663914,1.824761868,1.22488E-05,2.218900204,0.000175457,-0.097650111,0.803900778,0,1,-0.440348148,0.001492602,0.771563113,0.016582564,0,1,0.895495415,0.000511928,-0.128656387,0.117883727,0.350257874,0.114188381,0.239598036,0.047892954,-0.120550156,0.05162774,0.069996119,0.416873395,0,1,0.066722035,0.779600441,-0.373018026,0.05528111,0,1,0.059920251,0.787245393,0,1,0,1,-0.365869284,0.00676114,0.096368074,0.423418909
